datetime,T_outdoor,T_wb,solar,T_room,cooling_load_kW,chiller_power_kW,chw_pump_power_kW,cw_pump_power_kW,ct_fan_power_kW,terminal_fan_power_kW,total_power_kW,chiller_PLR,chiller_COP,T_chw_supply,T_cw_supply,pipe_heat_gain_kW
2024-07-01 00:00:00,8.28918348872793,3.4566276061562835,0.0,19.206694131872197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-01 00:01:00,8.140002273081857,3.4587433533903416,0.0,15.370093398266762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-01 00:02:00,9.86991741280321,4.6009677512157126,0.0,13.463292387626257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-01 00:03:00,9.217741713464202,4.311624845076768,0.0,11.991444879907757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-01 00:04:00,8.157308308692658,4.108240594384496,0.0,10.662226413398907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-01 00:05:00,8.88553551578057,3.6250310530610776,0.0,10.04628321301258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-01 00:06:00,7.316875696567234,2.1550133134050755,0.0,9.100052215211308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-01 00:07:00,9.161218033455114,4.3911457916426855,0.0,9.12125718108007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-01 00:08:00,8.085418717632917,2.54652655935035,0.0,8.76215270257221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-01 00:09:00,8.27223553734898,3.7672349617588536,0.0,8.59230821973262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
